product_name,nutrient_id,amount_100
Молоко 3.2%,na,50.0000
Молоко 3.2%,k,146.0000
Молоко 3.2%,ca,120.0000
Молоко 3.2%,mg,14.0000
Молоко 3.2%,p,90.0000
Молоко 3.2%,fe,0.0600
Молоко 3.2%,vit_a,0.0200
Молоко 3.2%,beta_carotene,0.0200
Молоко 3.2%,vit_b1,0.0400
Молоко 3.2%,vit_b2,0.1500
Молоко 3.2%,vit_pp,0.1000
Молоко 3.2%,vit_c,1.3000
Творог 9%,na,41.0000
Творог 9%,k,112.0000
Творог 9%,ca,164.0000
Творог 9%,mg,23.0000
Творог 9%,p,220.0000
Творог 9%,fe,0.4000
Творог 9%,vit_a,0.0600
Творог 9%,beta_carotene,0.0300
Творог 9%,vit_b1,0.0400
Творог 9%,vit_b2,0.2700
Творог 9%,vit_pp,0.4000
Творог 9%,vit_c,0.5000
Сыр Российский,na,820.0000
Сыр Российский,k,116.0000
Сыр Российский,ca,1000.0000
Сыр Российский,mg,50.0000
Сыр Российский,p,540.0000
Сыр Российский,fe,1.1000
Сыр Российский,vit_a,0.2600
Сыр Российский,beta_carotene,0.1700
Сыр Российский,vit_b1,0.0400
Сыр Российский,vit_b2,0.3000
Сыр Российский,vit_pp,0.1500
Сыр Российский,vit_c,1.6000
Кефир 1%,na,51.0000
Кефир 1%,k,152.0000
Кефир 1%,ca,126.0000
Кефир 1%,mg,15.0000
Кефир 1%,p,95.0000
Кефир 1%,fe,0.1000
Кефир 1%,vit_b1,0.0400
Кефир 1%,vit_b2,0.1700
Кефир 1%,vit_pp,0.1400
Кефир 1%,vit_c,0.7000
Сметана 15%,na,35.0000
Сметана 15%,k,124.0000
Сметана 15%,ca,86.0000
Сметана 15%,mg,8.0000
Сметана 15%,p,60.0000
Сметана 15%,fe,0.3000
Сметана 15%,vit_a,0.1500
Сметана 15%,beta_carotene,0.1000
Сметана 15%,vit_b1,0.0300
Сметана 15%,vit_b2,0.1000
Сметана 15%,vit_pp,0.0700
Сметана 15%,vit_c,0.3000
Сметана 30%,na,35.0000
Сметана 30%,k,95.0000
Сметана 30%,ca,85.0000
Сметана 30%,mg,8.0000
Сметана 30%,p,59.0000
Сметана 30%,fe,0.3000
Сметана 30%,vit_a,0.2300
Сметана 30%,beta_carotene,0.1500
Сметана 30%,vit_b1,0.0300
Сметана 30%,vit_b2,0.1000
Сметана 30%,vit_pp,0.0700
Сметана 30%,vit_c,0.3000
Сливки 33%,na,35.0000
Сливки 33%,k,109.0000
Сливки 33%,ca,86.0000
Сливки 33%,mg,8.0000
Сливки 33%,p,60.0000
Сливки 33%,fe,0.3000
Сливки 33%,vit_a,0.3000
Сливки 33%,beta_carotene,0.1500
Сливки 33%,vit_b1,0.0300
Сливки 33%,vit_b2,0.1100
Сливки 33%,vit_pp,0.0700
Сливки 33%,vit_c,0.2000
Масло сливочное,na,7.0000
Масло сливочное,k,15.0000
Масло сливочное,ca,12.0000
Масло сливочное,mg,0.4000
Масло сливочное,p,19.0000
Масло сливочное,fe,0.2000
Масло сливочное,vit_a,0.5900
Масло сливочное,beta_carotene,0.3800
Масло сливочное,vit_b2,0.1000
Масло сливочное,vit_pp,0.0500
Свинина жирная,na,47.0000
Свинина жирная,k,230.0000
Свинина жирная,ca,6.0000
Свинина жирная,mg,20.0000
Свинина жирная,p,130.0000
Свинина жирная,fe,1.4000
Свинина жирная,vit_b1,0.4000
Свинина жирная,vit_b2,0.1000
Свинина жирная,vit_pp,2.2000
Свинина мясная,na,51.0000
Свинина мясная,k,285.0000
Свинина мясная,ca,7.0000
Свинина мясная,mg,24.0000
Свинина мясная,p,164.0000
Свинина мясная,fe,1.7000
Свинина мясная,vit_b1,0.5200
Свинина мясная,vit_b2,0.1400
Свинина мясная,vit_pp,2.6000
Говядина,na,71.0000
Говядина,k,320.0000
Говядина,ca,9.0000
Говядина,mg,26.0000
Говядина,p,163.0000
Говядина,fe,1.1000
Говядина,vit_b1,0.0600
Говядина,vit_b2,0.1800
